% itn    run  time               r                   g
  1      2    0.71237E-02    0.7233710148E+01    0.4948773975E+00
  1      2    0.71237E-02    0.7273238618E+01    0.4736774909E+00
  1      2    0.71237E-02    0.7312767089E+01    0.5299988999E+00
  1      2    0.71237E-02    0.7352295560E+01    0.4466062159E+00
  1      2    0.71237E-02    0.7391824031E+01    0.5570849697E+00
  1      2    0.71237E-02    0.7431352501E+01    0.4997889626E+00
  1      2    0.71237E-02    0.7470880972E+01    0.5259571311E+00
  1      2    0.71237E-02    0.7510409443E+01    0.5590159901E+00
  1      2    0.71237E-02    0.7549937914E+01    0.4883536452E+00
  1      2    0.71237E-02    0.7589466384E+01    0.5141715829E+00
  1      2    0.71237E-02    0.7628994855E+01    0.4797522510E+00
  1      2    0.71237E-02    0.7668523326E+01    0.4842916305E+00
  1      2    0.71237E-02    0.7708051797E+01    0.5376627658E+00
  1      2    0.71237E-02    0.7747580267E+01    0.5835409883E+00
  1      2    0.71237E-02    0.7787108738E+01    0.5252788079E+00
  1      2    0.71237E-02    0.7826637209E+01    0.4263472163E+00
  1      2    0.71237E-02    0.7866165680E+01    0.5644588410E+00
  1      2    0.71237E-02    0.7905694150E+01    0.4561112087E+00


% itn    run  time               r                   g
  1      3    0.10685E-01    0.3952847075E-01    0.0000000000E+00
  1      3    0.10685E-01    0.7905694150E-01    0.0000000000E+00
  1      3    0.10685E-01    0.1185854123E+00    0.0000000000E+00
  1      3    0.10685E-01    0.1581138830E+00    0.0000000000E+00
  1      3    0.10685E-01    0.1976423538E+00    0.0000000000E+00
  1      3    0.10685E-01    0.2371708245E+00    0.0000000000E+00
  1      3    0.10685E-01    0.2766992953E+00    0.1044709370E+00
  1      3    0.10685E-01    0.3162277660E+00    0.3621659149E+00
  1      3    0.10685E-01    0.3557562368E+00    0.7988954006E-01
  1      3    0.10685E-01    0.3952847075E+00    0.2144403444E+00
  1      3    0.10685E-01    0.4348131783E+00    0.2586899392E+00
  1      3    0.10685E-01    0.4743416490E+00    0.5904879048E+00
  1      3    0.10685E-01    0.5138701198E+00    0.2172995490E+00
  1      3    0.10685E-01    0.5533985905E+00    0.6539106798E+00
  1      3    0.10685E-01    0.5929270613E+00    0.1311290382E+01
  1      3    0.10685E-01    0.6324555320E+00    0.1007639038E+01
  1      3    0.10685E-01    0.6719840028E+00    0.9054147874E+00
  1      3    0.10685E-01    0.7115124735E+00    0.1358122181E+01
  1      3    0.10685E-01    0.7510409443E+00    0.9910621321E+00
  1      3    0.10685E-01    0.7905694150E+00    0.1253651244E+01
  1      3    0.10685E-01    0.8300978858E+00    0.1358122181E+01
